name,display_name,lat,lon,height_m
Sgurr na Banachdich,Sgurr na Banachdich,57.221,-6.24166,965
Sgurr na Carnach,Sgurr na Carnach,57.18906,-5.34923,1002
Sgurr na Ciche,Sgurr na Ciche,57.01348,-5.45692,1040
Sgurr na Ciste Duibhe,Sgurr na Ciste Duibhe,57.18095,-5.33714,1027
Sgurr na Lapaich,Sgurr na Lapaich,57.36933,-5.05973,1151
Sgurr na Ruaidhe,Sgurr na Ruaidhe,57.44152,-4.85246,993
Sgurr na Sgine,Sgurr na Sgine,57.14712,-5.39665,946
Sgurr na h-Ulaidh [Sgor na h-Ulaidh],Sgurr na h-Ulaidh [Sgor na h-Ulaidh],56.61981,-5.08008,994
Sgurr nan Ceathramhnan [Sgurr nan Ceathreamhnan],Sgurr nan Ceathramhnan [Sgurr nan Ceathreamhnan],57.25493,-5.22274,1151
Sgurr nan Clach Geala,Sgurr nan Clach Geala,57.6963,-5.04825,1093
Sgurr nan Coireachan,"Sgurr nan Coireachan (Glenfinnan, 956 m)",56.93575,-5.44856,956
Sgurr nan Coireachan,"Sgurr nan Coireachan (Glen Dessarry, 954 m)",57.00717,-5.40545,954
Sgurr nan Conbhairean,Sgurr nan Conbhairean,57.17765,-5.09541,1109
Sgurr nan Each,Sgurr nan Each,57.68103,-5.04636,923
Sgurr nan Eag,Sgurr nan Eag,57.19584,-6.21128,926
Sgurr nan Gillean,Sgurr nan Gillean,57.24824,-6.19318,966
Slioch,Slioch,57.6672,-5.34705,981
Spidean Coire nan Clach (Beinn Eighe),Spidean Coire nan Clach (Beinn Eighe),57.58212,-5.40371,993
Spidean Mialach,Spidean Mialach,57.08898,-5.19362,996
Spidean a' Choire Leith (Liathach),Spidean a' Choire Leith (Liathach),57.56421,-5.46361,1055
Sron a' Choire Ghairbh,Sron a' Choire Ghairbh,57.00786,-4.92875,937
Stob Ban,"Stob Ban (Mamores, 1000 m)",56.74372,-5.03035,1000
Stob Ban,"Stob Ban (Grey Corries, 977 m)",56.81067,-4.84088,977
Stob Binnein,Stob Binnein,56.37073,-4.53576,1165
Stob Choire Claurigh,Stob Choire Claurigh,56.8238,-4.84963,1177
Stob Coir' an Albannaich,Stob Coir' an Albannaich,56.55492,-4.97983,1044
Stob Coire Easain,Stob Coire Easain,56.81821,-4.77372,1115
Stob Coire Raineach (Buachaille Etive Beag),Stob Coire Raineach (Buachaille Etive Beag),56.64991,-4.95162,924
Stob Coire Sgreamhach,Stob Coire Sgreamhach,56.63833,-5.0103,1072
Stob Coire Sgriodain,Stob Coire Sgriodain,56.83176,-4.69493,979
Stob Coire a' Chairn,Stob Coire a' Chairn,56.75077,-4.96901,981
Stob Coire an Laoigh,Stob Coire an Laoigh,56.81089,-4.8849,1116
Stob Daimh [Stob Diamh],Stob Daimh [Stob Diamh],56.43134,-5.09133,999
Stob Dearg (Buachaille Etive Mor),Stob Dearg (Buachaille Etive Mor),56.64625,-4.90035,1021
